Time [ms], Thrust [N]
782,  2061.9314247433595
783,  2070.1210260339767
784,  2078.32279328444
785,  2086.043014196359
786,  2092.941127315793
787,  2098.6997817512947
788,  2103.2474583094427
789,  2106.582626528633
790,  2108.820255630318
791,  2110.340776393645
792,  2111.5412312933386
793,  2112.8701606020095
794,  2114.8490988379617
795,  2117.984912068682
796,  2122.632861311359
797,  2129.02020206173
798,  2137.303554050879
799,  2147.4552354502193
800,  2159.2477953350476
801,  2172.341349085056
802,  2186.3175765614697
803,  2200.708369369467
804,  2214.985154361865
805,  2228.6184030144022
806,  2241.20622576004
808,  2252.465189025922
808,  2262.184934220046
809,  2270.261317470243
810,  2276.799553386539
811,  2282.03241707254
812,  2286.225182420387
813,  2289.732856552483
814,  2292.995007153412
815,  2296.4180602416372
816,  2300.3791483466894
817,  2305.1455024715506
818,  2310.949255848505
819,  2317.928948590767
820,  2326.050675360899
821,  2335.198308757258
822,  2345.1403757139324
823,  2355.6283821964025
824,  2366.2991455622814
825,  2376.772827604571
826,  2386.7050271932085
827,  2395.7934790827917
828,  2403.820728134193
829,  2410.615490444431
830,  2416.1678043214133
831,  2420.5774118867716
832,  2424.0117050987915
833,  2426.757912366348
834,  2429.134254168273
835,  2431.523877831439
836,  2434.285156142504
837,  2437.702880088725
838,  2442.1385229256775
839,  2447.717522455295
840,  2454.4901017603493
841,  2462.481449293072
842,  2471.558200010967
843,  2481.540341274933
844,  2492.1321032643336
845,  2503.007719649727
846,  2513.8730976154598
847,  2524.426510602931
848,  2534.4062109413844
849,  2543.5804045773853
850,  2551.817250774178
851,  2559.114932731517
852,  2565.450648812547
853,  2570.905629709918
854,  2575.6153014397382
855,  2579.750546941196
856,  2583.4916287007377
857,  2586.9911090217292
858,  2590.401597101547
859,  2593.8270913493593
860,  2597.345391788399
861,  2600.962210031234
862,  2604.644966917723
863,  2608.3761359862297
864,  2612.06457419754
865,  2615.6085032764254
866,  2618.9324575210694
867,  2621.9752529160833
868,  2624.681819142286
869,  2627.0185603857367
870,  2629.006211934393
871,  2630.6469570580125
872,  2632.001479467034
873,  2633.1131261598553
874,  2634.039646870733
875,  2634.8321244136782
876,  2635.504540366869
877,  2636.097417244911
878,  2636.582333412853
879,  2636.946432787096
880,  2637.161785364994
881,  2637.14857316656
882,  2636.8786313496234
883,  2636.306362068477
884,  2635.383225530775
885,  2634.0647129469494
886,  2632.349829992545
887,  2630.27033536822
888,  2627.8297218474804
889,  2625.06706957442
890,  2622.030420564938
891,  2618.795613401239
892,  2615.428972326982
893,  2611.9655448829785
894,  2608.4541905517694
895,  2604.948089473629
896,  2601.4717276436168
897,  2598.021749752263
898,  2594.5868650815623
899,  2591.1474019247935
900,  2587.681818119357
901,  2584.142533483038
902,  2580.4689566489865
903,  2576.6542433099453
904,  2572.6602252148846
905,  2568.442448743685
906,  2564.026782815669
907,  2559.42194945005
908,  2554.6506737297364
909,  2549.767286747302
910,  2544.830359102078
911,  2539.926897703193
912,  2535.1350193402845
913,  2530.5221453356044
914,  2526.153740487949
915,  2522.0977197956204
916,  2518.3809545512067
917,  2515.016639041032
918,  2511.9847333072635
919,  2509.2209048433942
920,  2506.649398886432
921,  2504.1674709881177
922,  2501.657076957115
923,  2498.9604468799107
924,  2495.9359164178722
925,  2492.4826185261218
926,  2488.4940475085878
927,  2483.9106109934564
928,  2478.6582901839197
929,  2472.7893938510983
930,  2466.3692797953886
931,  2459.500315529266
932,  2452.3543007506846
933,  2445.0938002614485
934,  2437.898089618034
935,  2430.9491872143353
936,  2424.4374316325075
937,  2418.436684694451
938,  2413.024211781739
939,  2408.1866339837616
940,  2403.8687313804658
941,  2399.9808196250697
942,  2396.3546559252754
943,  2392.7766617314473
944,  2389.052892204243
945,  2385.0206459336728
946,  2380.5272205465344
947,  2375.4561710309413
948,  2369.7365728812365
949,  2363.4340156865287
950,  2356.6412378616833
951,  2349.4659039904154
952,  2342.0718736552403
953,  2334.6544225199027
954,  2327.4003851560446
955,  2320.4625371902935
956,  2313.933985682518
957,  2307.8353926251966
958,  2302.208329516773
959,  2296.981375141331
960,  2292.0160996058976
961,  2287.2001316423693
962,  2282.373332498774
963,  2277.410942760993
964,  2272.197161245317
965,  2266.6712222894657
966,  2260.8166133722693
967,  2254.6732960047793
968,  2248.338055379855
969,  2241.9276379719377
970,  2235.6178855966855
971,  2229.5462140674836
972,  2223.86392831228
973,  2218.708233305118
974,  2214.16361478854
975,  2210.275403536557
976,  2206.98983937239
977,  2204.2675545540105
978,  2202.006768109618
979,  2200.1038062019884
980,  2198.3981443747452
981,  2196.7647407893623
982,  2195.09510620155
983,  2193.268712611849
984,  2191.2244251376824
985,  2188.957258874381
986,  2186.4702540504713
987,  2183.7837781312282
988,  2181.008452209494
989,  2178.188399004918
990,  2175.4808197653665
991,  2172.9768564075466
992,  2170.7079345140246
993,  2168.7878384274372
994,  2167.2873610334264
995,  2166.2136272780645
996,  2165.5309294247627
997,  2165.2478233602287
998,  2165.3308314182086
999,  2165.73025515277
1000,  2166.3508047876658
1001,  2167.132292828631
1002,  2168.061801668371
1003,  2169.1017953356745
1004,  2170.1992665042017
1005,  2171.3567759692605
1006,  2172.5929953845907
1007,  2173.923009815151
1008,  2175.3719688739066
1009,  2176.9349649264923
1010,  2178.665260776894
1011,  2180.554966451423
1012,  2182.586362923018
1013,  2184.7688142501465
1014,  2187.048010975197
1015,  2189.399713313378
1016,  2191.7702688623285
1017,  2194.1314661341426
1018,  2196.4495707745764
1019,  2198.672478519395
1020,  2200.7836046215757
1021,  2202.8067181439783
1022,  2204.807057038388
1023,  2206.746563180727
1024,  2208.6816391444427
1025,  2210.6857852219473
1026,  2212.8217698246244
1027,  2215.106202220999
1028,  2217.5633528038893
1029,  2220.237527132773
1030,  2223.1201980755695
1031,  2226.202775138497
1032,  2229.41398495079
1033,  2232.744271063916
1034,  2236.135291885468
1035,  2239.543005396861
1036,  2242.9082864947345
1037,  2246.2227471955157
1038,  2249.475359520866
1039,  2252.665251858997
1040,  2255.83354112718
1041,  2259.015431349541
1042,  2262.2729840150478
1043,  2265.6861968656854
1044,  2269.281442572653
1045,  2273.1398020142997
1046,  2277.283099833288
1047,  2281.7526390393514
1048,  2286.5542989109535
1049,  2291.6912085257436
